,index,g_id,g_name,drpo_ConfiguredRPO,drpol_CurrentRPO,drpol_Deviation,CPU-Usage (%),Memory-Usage (%),Network-Usage Rate (KBps),Disk-Read IOPS,Disk-Read Latency (ms),Disk-Total IOPS,Disk-Total Latency (ms),Disk-Total Throughput (KBps),Disk-Write IOPS,Disk-Write Latency (ms),Disk-Read Throughput (KBps),Disk-Write Throughput (KBps)
4001,2021-01-20 05:00:00,177,RG_apprdotmOLTPdb,7200,46,0,1.10000002384186,6.85666656494141,69.8000030517578,6.93333339691162,0.178846150636673,13.3333330154419,1.07466661930084,332.933319091797,6.40000009536743,1.50761151313782,302.933319091797,33.2000007629394
4002,2021-01-20 05:10:00,177,RG_apprdotmOLTPdb,7200,45,0,0.531333327293396,25.1253337860107,26.3999996185303,1.53333330154419,0.246376812458038,9.06666660308838,4.04362726211548,55.2000007629395,7.53333330154419,0.84251207113266,19.1333332061768,38.1333351135254
4003,2021-01-20 05:20:00,177,RG_apprdotmOLTPdb,7200,48,0,0.685999989509583,6.3899998664856,46.466667175293,26,0.200683757662773,36,0.403209865093231,558.866638183594,10,0.874074101448059,513.733337402344,47.8666648864746
4004,2021-01-20 05:30:00,177,RG_apprdotmOLTPdb,7200,48,0,0.529999971389771,5.0566668510437,10,1.60000002384186,0.25555557012558,8.73333358764648,1.15826976299286,59.4000015258789,7.13333320617676,1.21676194667816,19.9333324432373,41.6666679382324
4005,2021-01-20 05:40:00,177,RG_apprdotmOLTPdb,7200,48,0,0.503333330154419,2.58999991416931,8.86666679382324,0.266666680574417,0.066666670143604,6.13333320617676,1.37101447582245,42.2000007629395,5.86666679382324,1.73073589801788,13.5333337783813,30.1333332061768
4006,2021-01-20 05:50:00,177,RG_apprdotmOLTPdb,7200,48,0,0.495999991893768,2.65666675567627,8.80000019073486,0,0,5.93333339691162,1.56853938102722,29.2666664123535,5.93333339691162,1.49549543857574,0.066666670143604,30.8666667938232
4007,2021-01-20 06:00:00,177,RG_apprdotmOLTPdb,7200,1,0,0.998666644096374,3.78999996185303,10.9333333969116,139.66667175293,0.120827369391918,179.399993896484,0.43817663192749,13435.7998046875,39.7333335876465,2.36039996147156,13090.466796875,347.600006103516
4008,2021-01-20 06:10:00,177,RG_apprdotmOLTPdb,7200,557,0,0.669333338737488,19.1900005340576,9.73333358764648,1.53333330154419,0.568115949630737,801.066650390625,1.32078897953033,3490.53344726562,799.533325195312,1.75022220611572,21.3999996185303,3473.19995117188
4009,2021-01-20 06:20:00,177,RG_apprdotmOLTPdb,7200,557,0,0.492666661739349,3.32333326339722,8.86666679382324,0,0,5.86666679382324,1.98787879943848,29,5.86666679382324,1.81621623039246,0,30.533332824707
4010,2021-01-20 06:30:00,177,RG_apprdotmOLTPdb,7200,46,0,0.525333344936371,3.39000010490417,8.86666679382324,1.46666669845581,0.145454540848732,8.46666622161865,0.880314946174622,65.5999984741211,7,2.20348572731018,28.7999992370605,38.7333335876465
4011,2021-01-20 06:40:00,177,RG_apprdotmOLTPdb,7200,46,0,1.33599996566772,43.656665802002,9.73333358764648,716.266662597656,0.486274510622024,721.933349609375,0.491870582103729,103200.8671875,5.66666650772095,2.70000004768372,103174.734375,29.9333324432373
4012,2021-01-20 06:50:00,177,RG_apprdotmOLTPdb,7200,46,0,1.03266668319702,40.656665802002,8.73333358764648,881.666687011719,0.442550718784332,888,0.459169179201126,127142,6.33333349227905,1.84893620014191,127113.3984375,31.9333324432373
4013,2021-01-20 07:00:00,177,RG_apprdotmOLTPdb,7200,48,0,0.627333343029022,27.7233333587646,9.80000019073486,91.1333312988281,0.591221630573273,97.466667175293,0.647879600524902,12994.400390625,6.33333349227905,2.08333325386047,12963.93359375,33.1333351135254
4014,2021-01-20 07:10:00,177,RG_apprdotmOLTPdb,7200,48,0,0.501333355903626,10.1899995803833,21.9333324432373,2.79999995231628,0.161904767155647,8.66666698455811,1.48205125331879,72.7333297729492,5.86666679382324,1.0202614068985,45.2000007629395,30.2000007629394
4015,2021-01-20 07:20:00,177,RG_apprdotmOLTPdb,7200,49,0,0.513333320617676,4.3899998664856,13.8000001907349,0.200000002980232,0.066666670143604,6,1.38740742206573,32.1333351135254,5.80000019073486,1.76585364341736,4.40000009536743,29.533332824707
4016,2021-01-20 07:30:00,177,RG_apprdotmOLTPdb,7200,49,0,0.532000005245209,2.39000010490417,9,2.46666669845581,0.133333340287209,10.0666666030884,1.11434876918793,89,7.59999990463257,1.60394477844238,47.533332824707,43.6666679382324
4017,2021-01-20 07:40:00,177,RG_apprdotmOLTPdb,7200,47,0,0.512000024318695,4.25666666030884,10.6666669845581,0,0,6.86666679382324,2.49385118484497,33.1333351135254,6.86666679382324,1.77176475524902,0.533333361148834,33.9333343505859
4018,2021-01-20 07:50:00,177,RG_apprdotmOLTPdb,7200,48,0,0.502666652202606,3.19000005722046,15.2666664123535,0.333333343267441,0.026666667312384,6.66666650772095,1.70666670799255,34.7999992370606,6.33333349227905,1.05295944213867,4.66666650772095,32.1333351135254
4019,2021-01-20 08:00:00,177,RG_apprdotmOLTPdb,7200,48,0,0.672666668891907,4.72333335876465,20.0666675567627,217.533340454102,0.081540502607823,227.466659545898,0.118327468633652,9715.93359375,9.93333339691162,1.59852945804596,9667.7333984375,52.7333335876465
4020,2021-01-20 08:10:00,177,RG_apprdotmOLTPdb,7200,1,0,0.529333353042603,18.3233337402344,20.466667175293,1.33333337306976,0.016666667535901,7.06666660308838,1.51194965839386,43.7999992370605,5.73333311080933,1.17592597007751,16,30
4021,2021-01-20 08:20:00,177,RG_apprdotmOLTPdb,7200,46,0,0.753333330154419,3.85666656494141,270.733337402344,22.7999992370605,0.151072129607201,59.2666664123535,0.394225716590881,404.933319091797,36.466667175293,0.298961281776428,253.199996948242,157
4022,2021-01-20 08:30:00,177,RG_apprdotmOLTPdb,7200,46,0,0.571333348751068,4.92333316802979,28.466667175293,2.46666669845581,0.549549520015717,17.6000003814697,0.754797995090485,118.333335876465,15.1333332061768,1.20082306861877,39.4000015258789,84.1999969482422
4023,2021-01-20 08:40:00,177,RG_apprdotmOLTPdb,7200,47,0,0.933333337306976,9.52333354949951,227.600006103516,56.466667175293,1.04391968250275,103.533332824707,0.958531856536865,1140.40002441406,47.0666656494141,0.760403513908386,936.466674804688,210.466659545898
4024,2021-01-20 08:50:00,177,RG_apprdotmOLTPdb,7200,47,0,1.35199999809265,9.12333297729492,203.399993896484,67,0.432570487260819,97.533332824707,0.411893367767334,3107.60009765625,30.533332824707,0.971081435680389,2970.33325195313,144.399993896484
4025,2021-01-20 09:00:00,177,RG_apprdotmOLTPdb,7200,1,0,2.25200009346008,16.6573333740234,536.133361816406,58.2666664123535,0.578337132930756,173.933334350586,0.523725569248199,1878.59997558594,115.666664123535,0.479019612073898,1345.73327636719,541.666687011719
4026,2021-01-20 09:10:00,177,RG_apprdotmOLTPdb,7200,48,0,1.08866667747498,14.7233333587646,388.399993896484,46.4000015258789,0.65067046880722,128.866668701172,0.643490254878998,1043.26672363281,82.466667175293,0.343445926904678,687.266662597656,364.333343505859
